start_m,end_m,avg_slope_%,target_pace_sec_per_km,target_pace_min_per_km,Total_predicted_time
0,500,-3.31,230,3:50,0:01:55
500,1000,-1.95,213,3:33,0:03:42
1000,1500,-0.37,224,3:44,0:05:34
1500,2000,-0.32,224,3:44,0:07:26
2000,2500,0.07,227,3:47,0:09:20
2500,3000,-0.04,226,3:46,0:11:13
3000,3500,3.41,250,4:10,0:13:18
3500,4000,2.26,242,4:02,0:15:20
4000,4500,-4.67,196,3:16,0:16:58
4500,5000,-0.32,224,3:44,0:18:50
5000,5500,-0.15,225,3:45,0:20:43
5500,6000,-0.07,226,3:46,0:22:37
6000,6500,0.88,232,3:52,0:24:33
6500,7000,-0.93,220,3:40,0:26:23
7000,7500,-1.16,219,3:39,0:28:13
7500,8000,-0.98,220,3:40,0:30:03
8000,8500,-0.17,225,3:45,0:31:56
8500,9000,-0.45,223,3:43,0:33:48
9000,9500,0.03,227,3:47,0:35:42
9500,10000,0.63,231,3:51,0:37:37
10000,10500,-3.97,225,3:45,0:39:30
10500,11000,-0.95,220,3:40,0:41:20
11000,11500,-0.52,223,3:43,0:43:12
11500,12000,-0.01,226,3:46,0:45:06
12000,12500,0.08,227,3:47,0:46:59
12500,13000,-0.02,226,3:46,0:48:53
13000,13500,3.71,252,4:12,0:50:59
13500,14000,2.29,242,4:02,0:53:00
14000,14500,-5.12,193,3:13,0:54:37
14500,15000,-0.25,225,3:45,0:56:30
15000,15500,-0.14,226,3:46,0:58:23
15500,16000,-0.07,226,3:46,1:00:16
16000,16500,0.88,232,3:52,1:02:12
16500,17000,-0.94,220,3:40,1:04:03
17000,17500,-1.08,219,3:39,1:05:53
17500,18000,-1.23,218,3:38,1:07:42
18000,18500,-0.17,225,3:45,1:09:35
18500,19000,-0.45,223,3:43,1:11:27
19000,19500,0.03,227,3:47,1:13:20
19500,20000,1.75,236,3:56,1:15:19
20000,20500,-0.91,220,3:40,1:17:09
20500,21000,-0.77,221,3:41,1:19:00
21000,21103,0.0,227,3:47,1:19:24
