start_m,end_m,avg_slope_%,target_pace_sec_per_km,target_pace_min_per_km
0,500,-3.31,230,3:50
500,1000,-1.95,213,3:33
1000,1500,-0.37,224,3:44
1500,2000,-0.32,224,3:44
2000,2500,0.07,227,3:47
2500,3000,-0.04,226,3:46
3000,3500,3.41,250,4:10
3500,4000,2.26,242,4:02
4000,4500,-4.67,196,3:16
4500,5000,-0.32,224,3:44
5000,5500,-0.15,225,3:45
5500,6000,-0.07,226,3:46
6000,6500,0.88,232,3:52
6500,7000,-0.93,220,3:40
7000,7500,-1.16,219,3:39
7500,8000,-0.98,220,3:40
8000,8500,-0.17,225,3:45
8500,9000,-0.45,223,3:43
9000,9500,0.03,227,3:47
9500,10000,0.63,231,3:51
10000,10500,-3.97,225,3:45
10500,11000,-0.95,220,3:40
11000,11500,-0.52,223,3:43
11500,12000,-0.01,226,3:46
12000,12500,0.08,227,3:47
12500,13000,-0.02,226,3:46
13000,13500,3.71,252,4:12
13500,14000,2.29,242,4:02
14000,14500,-5.12,193,3:13
14500,15000,-0.25,225,3:45
15000,15500,-0.14,226,3:46
15500,16000,-0.07,226,3:46
16000,16500,0.88,232,3:52
16500,17000,-0.94,220,3:40
17000,17500,-1.08,219,3:39
17500,18000,-1.23,218,3:38
18000,18500,-0.17,225,3:45
18500,19000,-0.45,223,3:43
19000,19500,0.03,227,3:47
19500,20000,1.75,236,3:56
20000,20500,-0.91,220,3:40
20500,21000,-0.77,221,3:41
21000,21103,0.0,227,3:47
